"Accession","Mean","Median","Number of peptides","P-Value"
"O75365","0.21502524649354351","0.21502524649354351","2","0.51287478761363092"
"P26640","0.15526785825108774","0.13061532408730719","10","0.83792429396330137"
"P26641","0.13397846143914185","0.14278938165157251","6","0.85019238122109198"
"O95168","0.12714194146341451","0.12714194146341451","2","0.86230534757114508"
"O95169","0.1603480227223025","0.1603480227223025","2","0.88917981578938488"
"Q13232","0.038605139321960635","0.014324333456666","5","0.11119671947213403"
"Q7Z3C6","0.13447971235168638","0.148676112879713","5","0.86899046392628976"
"O15118","0.38878207573110074","0.38635431224476202","9","1.1780501217505349e-06"
"Q13948","0.1015553596115453","0.1015553596115453","2","0.67853991423032345"
"Q9Y2K7","-0.14342262646054049","-0.14342262646054049","2","0.0064962986270647232"
"O43491","0.20130492359830565","0.18804067558947499","17","0.12577522807720515"
"P07686","0.057767544563901749","0.057767544563901749","2","0.40828620610683775"
"Q96AQ6","0.51657903203769462","0.491847498463373","6","1.4342435975937898e-09"
"Q9Y4W6","0.080407218328134231","0.08018598676103536","12","0.13281194454640838"
"Q9P0K1","0.067442354399247353","0.047730406040672302","3","0.36751509269555827"
"P60866","0.1670327599386065","0.1670327599386065","2","0.83967549223028559"
"Q8IWT6","0.13840985001130418","0.14593212620149401","5","0.91525037161405376"
"P13639","0.14921173840534999","0.14492260761929401","13","0.93002650761064964"
"O60266","0.23426195059192151","0.23426195059192151","2","0.40339575250239046"
"P57105","0.084404472998848651","0.084404472998848651","2","0.56460951765744971"
"P11586","0.15051308100474772","0.17522272972094199","3","0.95438840392317859"
"P61353","0.071380028692857214","0.071380028692857214","2","0.48474698915006498"
"P26010","0.14764401136077535","0.14529626585418201","13","0.95999100855384378"
"Q9P258","0.12421835076353295","0.12421835076353295","2","0.84071262962835847"
"Q9HDC9","0.052479409855021773","0.089698726710951943","6","0.12889702951629936"
"Q9NVT9","0.13761209012126499","0.13761209012126499","2","0.94035829029180051"
"Q8TCG2","0.24323953268557552","0.25119259071651651","4","0.19317862564528102"
"O14828","0.17573793252727213","0.174919755135239","8","0.56961999360450366"
"Q86Y56","0.20835707388844049","0.20835707388844049","2","0.55414368739904152"
"P15880","0.12436827580299251","0.12436827580299251","2","0.84181694017913966"
"P50416","0.055993052922115788","0.049886757607740598","11","0.04788028173973579"
"Q9BXS5","0.19126959861421533","0.16938388314893599","3","0.59792715124478779"
"Q15019","0.14262487373490801","0.14262487373490801","2","0.97797997155333949"
"Q15645","0.0495790352930425","0.0495790352930425","2","0.36597185089089257"
"P60660","0.08534268903928964","0.074153521749915102","3","0.48728161028868433"
"Q9BXS9","0.095621205939834197","0.095621205939834197","2","0.63810302103325611"
"P21912","0.0835987878912548","0.0060755138669103901","5","0.35616760281432047"
"Q6PJF5","0.16382314382683549","0.16382314382683549","2","0.86338166370132252"
"P04439","0.26260055382906333","0.25649250619191299","3","0.17692593544388724"
"P46940","0.13074560603733693","0.12620433995379998","10","0.755100812910242"
"Q9UDX5","0.089609344776765645","0.089609344776765645","2","0.59820689939917338"
"P30049","0.08999364618745051","0.08999364618745051","2","0.6007224862753775"
"Q10469","0.11760700388420076","0.107210883580364","5","0.67723023407163496"
"Q8TDW0","0.21439547445795648","0.21439547445795648","2","0.5166994241727354"
"O60506","0.11401942571232163","0.11032927999630249","4","0.67441744612662824"
"P05198","0.0040721766730453012","0.091329110667909899","3","0.1026545686911526"
